ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_153045,50,OK,OPEN_TAB,14747750,INDUSTRI PENGOLAHAN KOPRA <DISMAN> <DISMAN>,14747750,Tab form baru terdeteksi (event page).,
20251210_153045,50,OK,FINAL_SKIP,14747750,INDUSTRI PENGOLAHAN KOPRA <DISMAN> <DISMAN>,14747750,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_153053,51,OK,OPEN_TAB,14503311,INDUSTRI PENGOLAHAN KOPRA <JAMALUDIN> <JAMALUDIN>,14503311,Tab form baru terdeteksi (event page).,
20251210_153112,51,OK,FILL,14503311,INDUSTRI PENGOLAHAN KOPRA <JAMALUDIN> <JAMALUDIN>,14503311,"Form terisi (update=9, skip=9)",
20251210_153118,51,OK,SUBMIT,14503311,INDUSTRI PENGOLAHAN KOPRA <JAMALUDIN> <JAMALUDIN>,14503311,Submit final sukses,
20251210_153119,51,OK,ROW_DONE,14503311,INDUSTRI PENGOLAHAN KOPRA <JAMALUDIN> <JAMALUDIN>,14503311,Baris selesai diproses,
20251210_153127,52,OK,OPEN_TAB,14994656,INDUSTRI PENGOLAHAN KOPRA <LA BONDO> <LA BONDO>,14994656,Tab form baru terdeteksi (event page).,
20251210_153145,52,OK,FILL,14994656,INDUSTRI PENGOLAHAN KOPRA <LA BONDO> <LA BONDO>,14994656,"Form terisi (update=9, skip=9)",
20251210_153151,52,OK,SUBMIT,14994656,INDUSTRI PENGOLAHAN KOPRA <LA BONDO> <LA BONDO>,14994656,Submit final sukses,
20251210_153152,52,OK,ROW_DONE,14994656,INDUSTRI PENGOLAHAN KOPRA <LA BONDO> <LA BONDO>,14994656,Baris selesai diproses,
20251210_153200,53,OK,OPEN_TAB,13631566,MEMBUAT KUE KERING <IRKA HERNINDA> <IRKA HERNINDA>,13631566,Tab form baru terdeteksi (event page).,
20251210_153218,53,OK,FILL,13631566,MEMBUAT KUE KERING <IRKA HERNINDA> <IRKA HERNINDA>,13631566,"Form terisi (update=9, skip=9)",
20251210_153225,53,OK,SUBMIT,13631566,MEMBUAT KUE KERING <IRKA HERNINDA> <IRKA HERNINDA>,13631566,Submit final sukses,
20251210_153226,53,OK,ROW_DONE,13631566,MEMBUAT KUE KERING <IRKA HERNINDA> <IRKA HERNINDA>,13631566,Baris selesai diproses,
20251210_153233,54,OK,OPEN_TAB,13910166,JUAL BELI IKAN <SALMAN> <SALMAN>,13910166,Tab form baru terdeteksi (event page).,
20251210_153252,54,OK,FILL,13910166,JUAL BELI IKAN <SALMAN> <SALMAN>,13910166,"Form terisi (update=9, skip=9)",
20251210_153257,54,OK,SUBMIT,13910166,JUAL BELI IKAN <SALMAN> <SALMAN>,13910166,Submit final sukses,
